id,graduatingYear,overallScore,curriculum,jobSupport,school_id
293554,2022,5.0,5.0,5.0,11035
293543,2022,5.0,5.0,5.0,11035
293518,2022,5.0,5.0,5.0,11035
293326,2022,4.0,4.0,4.0,11035
293284,2022,4.7,4.0,5.0,11035
293235,2022,4.3,4.0,4.0,11035
293147,2022,5.0,5.0,5.0,11035
293019,2022,4.7,4.0,5.0,11035
292964,2022,4.3,5.0,4.0,11035
292945,2022,4.7,4.0,5.0,11035
292753,2022,5.0,5.0,5.0,11035
292643,2022,5.0,5.0,5.0,11035
292640,2022,5.0,5.0,5.0,11035
292637,2022,4.7,5.0,4.0,11035
292519,2022,5.0,5.0,5.0,11035
292442,2022,5.0,5.0,5.0,11035
292342,2022,4.7,4.0,5.0,11035
292239,2022,5.0,5.0,5.0,11035
292105,2022,5.0,5.0,5.0,11035
292081,2022,5.0,5.0,5.0,11035
292042,2022,4.0,4.0,4.0,11035
291893,2022,4.7,5.0,4.0,11035
291838,2022,4.7,4.0,5.0,11035
291783,2022,4.7,4.0,5.0,11035
291709,2022,5.0,5.0,5.0,11035
291708,2022,4.7,5.0,4.0,11035
291699,2022,5.0,5.0,5.0,11035
291668,2022,4.3,4.0,5.0,11035
291662,2022,5.0,5.0,5.0,11035
291635,2022,5.0,5.0,5.0,11035
291564,2022,5.0,5.0,5.0,11035
291542,2022,5.0,5.0,5.0,11035
291540,2022,4.7,5.0,5.0,11035
291404,2022,5.0,5.0,5.0,11035
291305,2022,5.0,5.0,5.0,11035
291285,2022,4.3,5.0,4.0,11035
291275,2022,5.0,5.0,5.0,11035
291212,2021,5.0,5.0,5.0,11035
291205,2022,4.7,4.0,5.0,11035
291178,2022,5.0,5.0,5.0,11035
290917,2022,3.7,4.0,3.0,11035
290899,2022,4.3,4.0,5.0,11035
290804,2022,5.0,5.0,5.0,11035
290796,2022,4.3,5.0,4.0,11035
290775,2022,4.3,4.0,5.0,11035
290769,2022,4.7,4.0,5.0,11035
290740,2022,4.7,4.0,5.0,11035
290685,2022,4.3,5.0,4.0,11035
290654,2022,4.7,4.0,5.0,11035
290614,2022,5.0,5.0,5.0,11035
290550,2022,5.0,5.0,5.0,11035
290529,2022,4.0,4.0,4.0,11035
290525,2021,2.0,2.0,2.0,11035
290496,2022,5.0,5.0,5.0,11035
290323,2022,5.0,5.0,5.0,11035
290280,2022,4.7,5.0,5.0,11035
290254,2022,5.0,5.0,5.0,11035
290154,2022,4.3,4.0,5.0,11035
290130,2022,4.7,4.0,5.0,11035
290094,2022,5.0,5.0,5.0,11035
290082,2022,4.0,4.0,4.0,11035
290068,2022,4.7,5.0,5.0,11035
290042,2022,4.7,4.0,5.0,11035
289951,2022,4.3,4.0,5.0,11035
289942,2022,4.3,4.0,5.0,11035
289940,2022,5.0,5.0,5.0,11035
289934,2022,5.0,5.0,5.0,11035
289765,2022,4.7,5.0,4.0,11035
289723,2022,4.7,4.0,5.0,11035
289716,2022,5.0,5.0,5.0,11035
289714,2022,5.0,5.0,5.0,11035
289541,2022,4.0,4.0,4.0,11035
289489,2022,5.0,5.0,5.0,11035
289411,2022,4.0,4.0,4.0,11035
289351,2022,4.0,5.0,3.0,11035
289334,2022,5.0,5.0,5.0,11035
289298,2022,5.0,5.0,5.0,11035
289236,2022,5.0,5.0,5.0,11035
289166,2022,4.7,4.0,5.0,11035
289109,2022,5.0,5.0,5.0,11035
288977,2022,4.0,4.0,4.0,11035
288924,2022,5.0,5.0,5.0,11035
288862,2022,5.0,5.0,5.0,11035
288791,2022,5.0,5.0,5.0,11035
288735,2022,4.0,4.0,4.0,11035
288652,2022,5.0,5.0,5.0,11035
288647,2022,5.0,5.0,5.0,11035
288595,2022,4.0,4.0,4.0,11035
288374,2022,5.0,5.0,5.0,11035
288304,2022,5.0,5.0,5.0,11035
288054,2022,5.0,5.0,5.0,11035
288039,2022,5.0,5.0,5.0,11035
288006,2022,5.0,5.0,5.0,11035
287963,2022,3.3,3.0,3.0,11035
287790,2022,4.3,5.0,4.0,11035
287697,2022,4.0,4.0,4.0,11035
287669,2022,4.7,4.0,5.0,11035
287655,2022,5.0,5.0,5.0,11035
287626,2022,4.3,4.0,4.0,11035
287486,2022,4.3,4.0,4.0,11035
287476,2022,4.3,5.0,4.0,11035
